,ace,berger_parker_d,brillouin_d,chao1,count_range,dominance,doubles,enspie,fisher_alpha,gini_index,goods_coverage,heip_e,hill,inv_simpson,kempton_taylor_q,margalef,max_count,mcintosh_d,mcintosh_e,mean_count,median_count,menhinick,min_count,num_doubletons,num_singletons,observed_features,percent_singletons,pielou_e,renyi,robbins,shannon,simpson_d,simpson_e,singles,std_count,strong,total_count,tsallis,unique_kmers,file_size
ERR9527534,524799.0,0.004168210766199617,12.43182166944018,524799.0,43307045.0,0.00010545958063633145,0.0,9482.305865110695,42281.5932225193,0.483093198674871,1.0,0.477751108613982,9482.305865110695,9482.305865110695,247675.39440111374,22753.890365460928,43307287.0,0.9897403583996721,.,19797.86270743656,13069.0,5.148578577278654,242.0,0.0,0.0,524799.0,0.0,0.9439164712364204,9.157182800388618,0.0,12.432107318715005,0.00010545958063633145,0.01806845261730814,0.0,145948.09619224077,0.3452984611750036,10389898551.0,0.9998945404193637,524799.0,4763030403
ERR9578590,524799.0,0.0024966379131236,9.98139033392636,524799.0,55021368.0,0.0003291188861021,0.0,3038.415728259539,39674.60921533031,0.8855186904658114,1.0,0.0412007435348036,3038.415728259539,3038.415728259539,195777.65401981547,22035.48235932424,55021409.0,0.981864979939784,0.1626282612403607,41993.60391121172,5097.0,3.5351262275327366,41.0,0.0,0.0,524799.0,0.0,0.7578536042035302,8.01909151653868,0.0,9.98151597777704,0.0003291188861021,0.0057896751485035,0.0,550294.5146033725,0.7697870255942402,22038201339.0,0.999670881113898,524799.0,7939316984
ERR9527526,524799.0,0.0048583117899427,12.401310117246636,524799.0,59824837.0,0.0001218919951516,0.0,8203.98418087714,41661.731878014725,0.4731238979832021,1.0,0.4633754060320995,8203.98418087714,8203.98418087714,264180.7287947817,22587.49834663076,59825260.0,0.9889684413720976,0.06757394677402,23464.224920398094,15811.0,4.729262200578478,423.0,0.0,0.0,524799.0,0.0,0.9415967708139664,9.012375190969683,0.0,12.40155507656434,0.0001218919951516,0.0156326215958436,0.0,186195.38468840116,0.3357910890389774,12314001774.0,0.9998781080048484,524799.0,5641835080
SRR25008561,524799.0,9.826165281938203e-05,12.66783317808796,524799.0,479915.0,5.24151282990997e-06,0.0,190784.61361262688,45284.40178627581,0.519759922026109,1.0,0.6050915992113416,190784.61361262688,190784.61361262688,193044.5003540443,23523.34635967369,480119.0,0.9977248383846667,0.0048039496776341,9310.474802734,5697.0,7.50776352230975,204.0,0.0,0.0,524799.0,0.0,0.9618568874984073,12.158900393301373,0.0,12.668396425969682,5.24151282990997e-06,0.363538447315309,0.0,12319.20669732272,0.381233577934264,4886127866.0,0.99999475848717,524799.0,3467124296
ERR8263091,524799.0,0.0011872819491621964,12.555036652334637,524799.0,18222977.0,8.377070116340607e-06,0.0,119373.47856852302,40885.62019909492,0.5547107949599852,1.0,0.5403502410506491,119373.47856852302,119373.47856852302,202120.19792343836,22375.328087559432,18223575.0,0.9971137314474485,.,29247.36295038672,15839.0,4.23597259865565,598.0,0.0,0.0,524799.0,0.0,0.9532649871144022,11.69001233272609,0.0,12.555234476898338,8.377070116340607e-06,0.22746514107024404,0.0,53899.94621614865,0.4127572718804406,15348986829.0,0.9999916229298836,524799.0,7210898233
ERR9527528,524799.0,0.005254366652289286,12.418167165035477,524799.0,62603184.0,0.00013258046761622768,0.0,7542.589176066545,41780.545113366716,0.45605157940989793,1.0,0.4712565789396025,7542.589176066545,7542.589176066545,272817.7026193928,22619.60042125868,62603576.0,0.9884946967770916,.,22703.131663741737,15928.0,4.807879955228149,392.0,0.0,0.0,524799.0,0.0,0.942877264817412,8.92832079410771,0.0,12.418420169352638,0.00013258046761622768,0.014372339078516812,0.0,188008.93183559895,0.3213536792837497,11914580794.0,0.9998674195323838,524799.0,5453528327
SRR25008570,524799.0,7.17663472188686e-05,12.839354341463768,524799.0,381434.0,3.8810315887388715e-06,0.0,257663.45290813432,44923.00146003822,0.42640803727077947,1.0,0.7182866220060266,257663.45290813432,257663.45290813432,254602.6891310693,23433.832285279685,381853.0,0.9980436489885842,.,10138.702183121539,7274.0,7.19457785050914,419.0,0.0,0.0,524799.0,0.0,0.9748772598787698,12.45940956628085,0.0,12.839884763862832,3.8810315887388715e-06,0.49097550282705255,0.0,10323.377202131127,0.30848189954723004,5320780767.0,0.9999961189684112,524799.0,3959736287
ERR9752742,524799.0,0.0039367532880399,12.272316831884051,524799.0,10622557.0,0.0001281387183104,0.0,7804.042471982858,47982.353454347474,0.51577688209614,1.0,0.4075905375047626,7804.042471982858,7804.042471982858,255192.62987125004,24166.52766146673,10622716.0,0.9886991959814156,0.0113220393909166,5141.672053490956,3070.0,10.102859490704546,159.0,0.0,0.0,524799.0,0.0,0.9318574857892474,8.962397144063258,0.0,12.273281187587424,0.0001281387183104,0.0148705360947388,0.0,41849.25339815647,0.3750449664464317,2698344352.0,0.9998718612816896,524799.0,1505223512
SRR25008539,524799.0,0.00011420135187700576,12.538355717347574,524799.0,605142.0,6.609829930695512e-06,0.0,151289.82295839133,44939.05548985017,0.572393449932391,1.0,0.5315812769226851,151289.82295839133,151289.82295839133,175907.80800752,23437.82603203454,605326.0,0.9974427413123166,.,10100.086293990651,5353.0,7.208318325852716,184.0,0.0,0.0,524799.0,0.0,0.9520227393994383,11.92695263352464,0.0,12.538873117202357,6.609829930695512e-06,0.28828146196618387,0.0,15869.77850859589,0.4262149327487178,5300515187.0,0.9999933901700693,524799.0,3762747716
ERR9752757,524799.0,0.004057349959597,12.195686097015797,524799.0,11729702.0,0.0001384979949027,0.0,7220.321136796802,47651.748806808304,0.5345521959512493,1.0,0.3775000038780398,7220.321136796802,7220.321136796802,244412.5046087376,24090.0176500946,11729866.0,0.9882498627220032,0.0117706538004474,5508.807331949946,3158.0,9.760402055556222,164.0,0.0,0.0,524799.0,0.0,0.9260345816793608,8.884654709678442,0.0,12.196589053265548,0.0001384979949027,0.0137582600896663,0.0,46640.96369403242,0.3904777700074499,2891016579.0,0.9998615020050972,524799.0,1553081942
SRR25008557,524799.0,0.00010759209886979345,12.588836077053875,524799.0,593580.0,6.0011412958632015e-06,0.0,166634.9700330061,44770.07565353652,0.5541580232965071,1.0,0.5590952365595049,166634.9700330061,166634.9700330061,178543.3930591143,23395.7069025208,593752.0,0.997563705826477,.,10515.543082208616,5945.0,7.064487254029012,172.0,0.0,0.0,524799.0,0.0,0.9558542195204313,12.023560890847785,0.0,12.589336662977031,6.0011412958632015e-06,0.3175215082974741,0.0,15416.635953543086,0.40953336717111477,5518546494.0,0.9999939988587041,524799.0,3932651026
SRR25008559,524799.0,0.00011804725144439157,12.616311955438986,524799.0,822950.0,5.896149301741576e-06,0.0,169602.21812982668,43814.60461629706,0.5380906122829943,1.0,0.5746160984448402,169602.21812982668,169602.21812982668,194548.6353363239,23154.111396672914,823245.0,0.9975837469544007,.,13288.630424219558,7646.0,6.284292454879981,295.0,0.0,0.0,524799.0,0.0,0.9579332355119349,12.041211080850092,0.0,12.616718905697981,5.896149301741576e-06,0.3231755741337668,0.0,19230.871701953674,0.3976586517567573,6973859958.0,0.9999941038506983,524799.0,5034053425
SRR25008571,524799.0,9.773146645366111e-05,12.75027192692478,524799.0,577253.0,4.712431528282499e-06,0.0,212204.6748049964,44484.70686933113,0.4721670022838077,1.0,0.6570331363597833,212204.6748049964,212204.6748049964,233087.1682440366,23324.165327074556,577750.0,0.9978421644755261,.,11264.516096638903,7394.0,6.825590501999466,497.0,0.0,0.0,524799.0,0.0,0.9681096996024048,12.26530653510313,0.0,12.750750779865884,4.712431528282499e-06,0.4043541904710116,0.0,13671.797312170464,0.34439657818974695,5911606783.0,0.9999952875684717,524799.0,4388883782
SRR25008579,524799.0,0.00012884008436417804,12.452730183498987,524799.0,719911.0,7.56350687511812e-06,0.0,132213.80194546105,44717.3293233339,0.6040315681726465,1.0,0.4879448212696833,132213.80194546105,132213.80194546105,166614.82670184,23382.522542626903,720060.0,0.9972631567874486,.,10649.388891747127,5043.0,7.019952217171967,149.0,0.0,0.0,524799.0,0.0,0.9455194405678188,11.792175602958238,0.0,12.453219660075517,7.56350687511812e-06,0.2519322672975006,0.0,18350.725983501816,0.45555918583614124,5588788641.0,0.9999924364931249,524799.0,3911477307
SRR25008556,524799.0,0.00010030863795579103,12.657391814537299,524799.0,548356.0,5.380906433149309e-06,0.0,185842.29486680092,44807.71233991848,0.5232606428811315,1.0,0.5987736088582285,185842.29486680092,185842.29486680092,193892.6214147704,23405.10369501975,548595.0,0.9976938127993148,.,10421.26675736806,6317.0,7.096369865167104,239.0,0.0,0.0,524799.0,0.0,0.9610599532022402,12.132653715984066,0.0,12.657900187162731,5.380906433149309e-06,0.3541209012722984,0.0,14074.090771574482,0.3841227632300891,5469070373.0,0.9999946190935669,524799.0,3985023828
ERR9527525,524799.0,0.0033870746124389,12.6013280131883,524799.0,39518075.0,5.611583188882171e-05,0.0,17820.28291019954,41856.43544938373,0.4491869437393748,1.0,0.5659861540818496,17820.28291019954,17820.28291019954,262745.9019407497,22640.05316753794,39518543.0,0.9925181385024744,0.0330581203803414,22232.23691737217,15579.0,4.858530333093105,468.0,0.0,0.0,524799.0,0.0,0.9567842900424042,9.788092576892018,0.0,12.601586408474104,5.611583188882171e-05,0.0339563964683613,0.0,118582.53456001852,0.319944250621821,11667455702.0,0.9999438841681112,524799.0,5406367518
